Country,Country_English
Albania,Albania
Alemania,Germany
Argelia,Algeria
Argentina,Argentina
Armenia,Armenia
Australia,Australia
Austria,Austria
Bolivia,Bolivia
Brasil,Brazil
Canadá,Canada
China,China
Colombia,Colombia
Corea del Sur,South Korea
Croacia,Croatia
Cuba,Cuba
España,Spain
Estados Unidos de América,United States
Filipinas,Philippines
Francia,France
Georgia,Georgia
Guatemala,Guatemala
Holanda,Netherlands
Hong Kong (Región administrativa especial de China),Hong Kong
Hungría,Hungary
India,India
Italia,Italy
Japón,Japan
Letonia,Latvia
Malasia,Malaysia
México,Mexico
Moldova,Moldova
Nueva Zelandia,New Zeeland
Otros,Other
Paises Bajos,Netherlands
Países Bajos,Netherlands
Pakistán,Pakistan
Papua Nueva Guinea,Papua New Guinea
Paraguay,Paraguay
Perú,Peru
Polonia,Poland
Portugal,Portugal
Reino Unido,United Kingdom
República Checa,Czech Republic
República de Serbia,Serbia
República Eslovaca,Slovakia
Rumania,Romania
Rusia,Russia
Sudáfrica,South Africa
Suiza,Switzerland
Tailandia,Thailand
Taiwán (Formosa),Taiwan
Turquía,Turkey
Ucrania,Ukraine
Uruguay,Uruguay
Venezuela,Venezuela
